text,label
Action required: Your mailbox storage is full. Click http://amaz0n-support.com/verify to upgrade and avoid message loss.,phishing
Thanks for your email. I'll review the document and get back to you by end of this week.,legitimate
Congratulations! You have won a a $500 gift card prize. Claim your reward within 24 hours: http://microsft-office365-login.com,phishing
Thank you for registering for our webinar on budget review. Here are the joining details for 10:00 AM.,legitimate
A voicemail message is waiting for you. Listen now: http://192.168.44.12/login.php,phishing
"Hi, the contract draft you requested is attached. Let me know if you need anything else.",legitimate
"Please find attached the revised invoice. Kindly process payment of $12,750 to the new account before end of day.",phishing
Your payment could not be processed. Update your billing information immediately at http://microsft-office365-login.com to avoid service interruption.,phishing
Thank you for registering for our webinar on project status. Here are the joining details for 11:15 AM.,legitimate
"Hi, can we reschedule our team sync meeting to 2:30 PM on end of this week? Let me know if that works for you.",legitimate
"Hi, following up on our conversation last week regarding the presentation. Any updates?",legitimate
Thanks for your email. I'll review the document and get back to you by Friday.,legitimate
"I need this handled quietly and quickly - transfer $8,900 to the account I'll send shortly. Do not discuss with anyone in the office. - David (CFO)",phishing
"Hi, can we reschedule our project status meeting to 2:30 PM on the 15th? Let me know if that works for you.",legitimate
This is a reminder that your subscription renews on Friday. No action is needed if you wish to continue.,legitimate
"Hi, sharing the notes from our project status discussion. Please add anything I missed.",legitimate
"From the desk of David (CFO): I'm travelling and my usual assistant is unavailable. Please action this payment of $3,400 immediately.",phishing
"Hi, the contract draft you requested is attached. Let me know if you need anything else.",legitimate
"Hi team, please find attached the agenda for tomorrow's budget review meeting at 11:15 AM.",legitimate
"Kindly update the vendor payment account to the new details before releasing this week's payment of $45,000.",phishing
Congratulations! You have won a a $500 gift card prize. Claim your reward within 24 hours: http://amaz0n-support.com/verify,phishing
"Final notice: your $1,000,000 reward will expire soon. Confirm your details at http://192.168.44.12/login.php.",phishing
Security Alert: We noticed a login from a new device. Verify it's you: http://bit.ly/3xVerify,phishing
Your Google Workspace account has been suspended. Click here to verify your identity immediately: http://192.168.44.12/login.php,phishing
Please find the monthly newsletter attached. Feedback is welcome as always.,legitimate
Warning: suspicious activity detected. Verify your identity within 1 hour to prevent permanent account closure: http://accounts-update-portal.net/login,phishing
Reminder: the quarterly report is due by end of this week. Let me know if you need an extension.,legitimate
"Hi, this is the Managing Director, I'm in a meeting and need you to purchase gift cards worth $12,750 urgently. Reply ASAP, can't talk right now.",phishing
"Hi, following up on our conversation last week regarding the budget sheet. Any updates?",legitimate
Warning: suspicious activity detected. Verify your identity within 1 hour to prevent permanent account closure: http://paypal-security-check.info,phishing
Your recent payment for order #99581 was successful. Thank you for your purchase.,legitimate
"Kindly update the vendor payment account to the new details before releasing this week's payment of $8,900.",phishing
You are our lucky winner of this month's Netflix giveaway. Click http://192.168.44.12/login.php to claim a $500 gift card now.,phishing
Security Alert: We noticed a login from a new device. Verify it's you: http://bit.ly/3xVerify,phishing
Action required: Your mailbox storage is full. Click http://accounts-update-portal.net/login to upgrade and avoid message loss.,phishing
Your recent payment for order #77420 was successful. Thank you for your purchase.,legitimate
Your Netflix account has been suspended. Click here to verify your identity immediately: http://accounts-update-portal.net/login,phishing
"Hi, following up on our conversation last week regarding the proposal. Any updates?",legitimate
Please review the attached presentation and share your comments by end of week.,legitimate
Please find the monthly newsletter attached. Feedback is welcome as always.,legitimate
This is a reminder that your subscription renews on end of this week. No action is needed if you wish to continue.,legitimate
Your recent payment for order #58291 was successful. Thank you for your purchase.,legitimate
Congratulations on completing the training program! Your certificate is attached.,legitimate
You are our lucky winner of this month's Apple ID giveaway. Click http://192.168.44.12/login.php to claim a free vacation package now.,phishing
Congratulations on completing the training program! Your certificate is attached.,legitimate
Congratulations! You have won a a $500 gift card prize. Claim your reward within 24 hours: http://paypal-security-check.info,phishing
"Hi, could you please share the updated contract draft when you get a chance? No rush.",legitimate
Action required: Your mailbox storage is full. Click http://bit.ly/3xVerify to upgrade and avoid message loss.,phishing
Attached is the minutes of today's client review meeting for your reference.,legitimate
"Hello, just confirming our call is scheduled for 4:00 PM on next Monday. Let me know if that still works.",legitimate
Your Netflix account has been suspended. Click here to verify your identity immediately: http://accounts-update-portal.net/login,phishing
"Hi, please process the attached invoice for $12,750 urgently. Payment details have changed, see updated bank info attached.",phishing
"This is urgent. I need you to process a wire transfer of $3,400 today before the bank closes. Reply for account details.",phishing
Please review the attached presentation and share your comments by end of week.,legitimate
URGENT: Your account will be permanently deleted in 24 hours unless you verify your details now: http://paypal-security-check.info,phishing
"From the desk of your Finance Head: I'm travelling and my usual assistant is unavailable. Please action this payment of $120,000 immediately.",phishing
Please review the attached presentation and share your comments by end of week.,legitimate
"Hi, could you please share the updated contract draft when you get a chance? No rush.",legitimate
Your package could not be delivered. Click http://amaz0n-support.com/verify to reschedule delivery and pay a small customs fee.,phishing
"Please find attached the revised invoice. Kindly process payment of $12,750 to the new account before end of day.",phishing
"Final notice: your $1,000,000 reward will expire soon. Confirm your details at http://192.168.44.12/login.php.",phishing
Security Alert: We noticed a login from a new device. Verify it's you: http://microsft-office365-login.com,phishing
Congratulations on completing the training program! Your certificate is attached.,legitimate
"Hi, please process the attached invoice for $120,000 urgently. Payment details have changed, see updated bank info attached.",phishing
"Hi, sharing the notes from our onboarding discussion. Please add anything I missed.",legitimate
URGENT: Your account will be permanently deleted in 24 hours unless you verify your details now: http://bit.ly/3xVerify,phishing
Reminder: the quarterly report is due by the 15th. Let me know if you need an extension.,legitimate
"Hi, sharing the notes from our onboarding discussion. Please add anything I missed.",legitimate
"Please find attached the revised invoice. Kindly process payment of $12,750 to the new account before end of day.",phishing
"Hi, this is David (CFO), I'm in a meeting and need you to purchase gift cards worth $8,900 urgently. Reply ASAP, can't talk right now.",phishing
Please review the attached document and sign it using the secure portal here: http://bit.ly/3xVerify,phishing
"I need this handled quietly and quickly - transfer $3,400 to the account I'll send shortly. Do not discuss with anyone in the office. - David (CFO)",phishing
Thanks for your email. I'll review the document and get back to you by the 15th.,legitimate
URGENT: Your account will be permanently deleted in 24 hours unless you verify your details now: http://microsft-office365-login.com,phishing
"Hi, the presentation you requested is attached. Let me know if you need anything else.",legitimate
Immediate action required. Failure to respond within 12 hours will result in account suspension. Click http://secure-verify-login.com/reset,phishing
This is a reminder that your subscription renews on the 15th. No action is needed if you wish to continue.,legitimate
Your payment could not be processed. Update your billing information immediately at http://bit.ly/3xVerify to avoid service interruption.,phishing
Action required: Your mailbox storage is full. Click http://accounts-update-portal.net/login to upgrade and avoid message loss.,phishing
"Hello, just confirming our call is scheduled for 11:15 AM on Friday. Let me know if that still works.",legitimate
"Hi, can we reschedule our client review meeting to 11:15 AM on end of this week? Let me know if that works for you.",legitimate
Your payment could not be processed. Update your billing information immediately at http://secure-verify-login.com/reset to avoid service interruption.,phishing
"Please find attached the revised invoice. Kindly process payment of $120,000 to the new account before end of day.",phishing
"Hi everyone, welcome to the team! Looking forward to working with you all.",legitimate
"Hi, sharing the notes from our onboarding discussion. Please add anything I missed.",legitimate
"This is urgent. I need you to process a wire transfer of $12,750 today before the bank closes. Reply for account details.",phishing
"Please find attached the revised invoice. Kindly process payment of $45,000 to the new account before end of day.",phishing
Security Alert: We noticed a login from a new device. Verify it's you: http://secure-verify-login.com/reset,phishing
"Hi, this is the Managing Director, I'm in a meeting and need you to purchase gift cards worth $45,000 urgently. Reply ASAP, can't talk right now.",phishing
A voicemail message is waiting for you. Listen now: http://paypal-security-check.info,phishing
"Kindly update the vendor payment account to the new details before releasing this week's payment of $45,000.",phishing
"Hi, could you please share the updated proposal when you get a chance? No rush.",legitimate
This is a reminder that your subscription renews on the 15th. No action is needed if you wish to continue.,legitimate
"Hi, please process the attached invoice for $3,400 urgently. Payment details have changed, see updated bank info attached.",phishing
Immediate action required. Failure to respond within 12 hours will result in account suspension. Click http://microsft-office365-login.com,phishing
Please find the monthly newsletter attached. Feedback is welcome as always.,legitimate
Unusual sign-in activity detected on your Netflix account. Confirm your password now at http://microsft-office365-login.com or your account will be locked.,phishing
"This is urgent. I need you to process a wire transfer of $8,900 today before the bank closes. Reply for account details.",phishing
"Hi everyone, welcome to the team! Looking forward to working with you all.",legitimate
"Hi everyone, welcome to the team! Looking forward to working with you all.",legitimate
"I need this handled quietly and quickly - transfer $12,750 to the account I'll send shortly. Do not discuss with anyone in the office. - the Managing Director",phishing
"Hi, please process the attached invoice for $45,000 urgently. Payment details have changed, see updated bank info attached.",phishing
Congratulations on completing the training program! Your certificate is attached.,legitimate
Your package could not be delivered. Click http://secure-verify-login.com/reset to reschedule delivery and pay a small customs fee.,phishing
"From the desk of John (CEO): I'm travelling and my usual assistant is unavailable. Please action this payment of $45,000 immediately.",phishing
Your recent payment for order #99581 was successful. Thank you for your purchase.,legitimate
Your Google Workspace password expires today. Update it now to avoid losing access: http://paypal-security-check.info,phishing
Your package could not be delivered. Click http://bit.ly/3xVerify to reschedule delivery and pay a small customs fee.,phishing
URGENT: Your account will be permanently deleted in 24 hours unless you verify your details now: http://accounts-update-portal.net/login,phishing
Warning: suspicious activity detected. Verify your identity within 1 hour to prevent permanent account closure: http://accounts-update-portal.net/login,phishing
A voicemail message is waiting for you. Listen now: http://secure-verify-login.com/reset,phishing
Please review the attached proposal and share your comments by end of week.,legitimate
Please review the attached document and sign it using the secure portal here: http://accounts-update-portal.net/login,phishing
Warning: suspicious activity detected. Verify your identity within 1 hour to prevent permanent account closure: http://secure-verify-login.com/reset,phishing
Please find the monthly newsletter attached. Feedback is welcome as always.,legitimate
"Hi, this is David (CFO), I'm in a meeting and need you to purchase gift cards worth $3,400 urgently. Reply ASAP, can't talk right now.",phishing
Your Netflix password expires today. Update it now to avoid losing access: http://microsft-office365-login.com,phishing
"Kindly update the vendor payment account to the new details before releasing this week's payment of $120,000.",phishing
Your package could not be delivered. Click http://192.168.44.12/login.php to reschedule delivery and pay a small customs fee.,phishing
Please review the attached document and sign it using the secure portal here: http://192.168.44.12/login.php,phishing
Attached is the minutes of today's team sync meeting for your reference.,legitimate
Your order #99581 has shipped and is expected to arrive by Friday.,legitimate
Congratulations! You have won a a brand new iPhone 16 prize. Claim your reward within 24 hours: http://amaz0n-support.com/verify,phishing
URGENT: Your account will be permanently deleted in 24 hours unless you verify your details now: http://microsft-office365-login.com,phishing
"Hi, please process the attached invoice for $45,000 urgently. Payment details have changed, see updated bank info attached.",phishing
"Hi, sharing the notes from our budget review discussion. Please add anything I missed.",legitimate
"Hi, please process the attached invoice for $3,400 urgently. Payment details have changed, see updated bank info attached.",phishing
Your payment could not be processed. Update your billing information immediately at http://paypal-security-check.info to avoid service interruption.,phishing
"I need this handled quietly and quickly - transfer $45,000 to the account I'll send shortly. Do not discuss with anyone in the office. - the Managing Director",phishing
"Hi everyone, welcome to the team! Looking forward to working with you all.",legitimate
"Please find attached the revised invoice. Kindly process payment of $45,000 to the new account before end of day.",phishing
"Congratulations! You have won a $1,000,000 prize. Claim your reward within 24 hours: http://accounts-update-portal.net/login",phishing
Thanks for your email. I'll review the document and get back to you by next Monday.,legitimate
You are our lucky winner of this month's PayPal giveaway. Click http://bit.ly/3xVerify to claim a brand new iPhone 16 now.,phishing
"Hi, can we reschedule our client review meeting to 11:15 AM on end of this week? Let me know if that works for you.",legitimate
Please review the attached presentation and share your comments by end of week.,legitimate
This is a reminder that your subscription renews on next Monday. No action is needed if you wish to continue.,legitimate
"Kindly update the vendor payment account to the new details before releasing this week's payment of $45,000.",phishing
Your recent payment for order #77420 was successful. Thank you for your purchase.,legitimate
Unusual sign-in activity detected on your Apple ID account. Confirm your password now at http://bit.ly/3xVerify or your account will be locked.,phishing
Security Alert: We noticed a login from a new device. Verify it's you: http://secure-verify-login.com/reset,phishing
Your Google Workspace password expires today. Update it now to avoid losing access: http://secure-verify-login.com/reset,phishing
"Please find attached the revised invoice. Kindly process payment of $3,400 to the new account before end of day.",phishing
Warning: suspicious activity detected. Verify your identity within 1 hour to prevent permanent account closure: http://accounts-update-portal.net/login,phishing
Security Alert: We noticed a login from a new device. Verify it's you: http://microsft-office365-login.com,phishing
Congratulations on completing the training program! Your certificate is attached.,legitimate
Your Netflix account has been suspended. Click here to verify your identity immediately: http://amaz0n-support.com/verify,phishing
Thanks for your email. I'll review the document and get back to you by the 15th.,legitimate
Please review the attached contract draft and share your comments by end of week.,legitimate
"Hi, this is the Managing Director, I'm in a meeting and need you to purchase gift cards worth $3,400 urgently. Reply ASAP, can't talk right now.",phishing
This is a reminder that your subscription renews on Friday. No action is needed if you wish to continue.,legitimate
"From the desk of David (CFO): I'm travelling and my usual assistant is unavailable. Please action this payment of $120,000 immediately.",phishing
"Hi, following up on our conversation last week regarding the report. Any updates?",legitimate
Thank you for registering for our webinar on client review. Here are the joining details for 11:15 AM.,legitimate
"Hi, following up on our conversation last week regarding the contract draft. Any updates?",legitimate
Reminder: the quarterly report is due by Friday. Let me know if you need an extension.,legitimate
"Kindly update the vendor payment account to the new details before releasing this week's payment of $12,750.",phishing
Immediate action required. Failure to respond within 12 hours will result in account suspension. Click http://secure-verify-login.com/reset,phishing
This is a reminder that your subscription renews on end of this week. No action is needed if you wish to continue.,legitimate
"I need this handled quietly and quickly - transfer $8,900 to the account I'll send shortly. Do not discuss with anyone in the office. - John (CEO)",phishing
Congratulations on completing the training program! Your certificate is attached.,legitimate
"This is urgent. I need you to process a wire transfer of $12,750 today before the bank closes. Reply for account details.",phishing
Reminder: the quarterly report is due by Friday. Let me know if you need an extension.,legitimate
You are our lucky winner of this month's Google Workspace giveaway. Click http://accounts-update-portal.net/login to claim a brand new iPhone 16 now.,phishing
A voicemail message is waiting for you. Listen now: http://accounts-update-portal.net/login,phishing
Action required: Your mailbox storage is full. Click http://amaz0n-support.com/verify to upgrade and avoid message loss.,phishing
Thank you for registering for our webinar on team sync. Here are the joining details for 2:30 PM.,legitimate
Please find the monthly newsletter attached. Feedback is welcome as always.,legitimate
Your order #10234 has shipped and is expected to arrive by next Monday.,legitimate
Your package could not be delivered. Click http://192.168.44.12/login.php to reschedule delivery and pay a small customs fee.,phishing
Unusual sign-in activity detected on your Microsoft 365 account. Confirm your password now at http://microsft-office365-login.com or your account will be locked.,phishing
"Hello, just confirming our call is scheduled for 2:30 PM on end of this week. Let me know if that still works.",legitimate
You are our lucky winner of this month's Netflix giveaway. Click http://amaz0n-support.com/verify to claim a $500 gift card now.,phishing
Reminder: the quarterly report is due by next Monday. Let me know if you need an extension.,legitimate
"Hi, please process the attached invoice for $8,900 urgently. Payment details have changed, see updated bank info attached.",phishing
Your package could not be delivered. Click http://secure-verify-login.com/reset to reschedule delivery and pay a small customs fee.,phishing
Warning: suspicious activity detected. Verify your identity within 1 hour to prevent permanent account closure: http://paypal-security-check.info,phishing
"Hi, the proposal you requested is attached. Let me know if you need anything else.",legitimate
Unusual sign-in activity detected on your PayPal account. Confirm your password now at http://amaz0n-support.com/verify or your account will be locked.,phishing
"Hi, can we reschedule our client review meeting to 4:00 PM on next Monday? Let me know if that works for you.",legitimate
"Hi team, please find attached the agenda for tomorrow's client review meeting at 10:00 AM.",legitimate
Please review the attached report and share your comments by end of week.,legitimate
"Hi, the presentation you requested is attached. Let me know if you need anything else.",legitimate
Thanks for your email. I'll review the document and get back to you by the 15th.,legitimate
Congratulations on completing the training program! Your certificate is attached.,legitimate
Your order #77420 has shipped and is expected to arrive by next Monday.,legitimate
"Hello, just confirming our call is scheduled for 10:00 AM on the 15th. Let me know if that still works.",legitimate
"Hello, just confirming our call is scheduled for 10:00 AM on Friday. Let me know if that still works.",legitimate
A voicemail message is waiting for you. Listen now: http://accounts-update-portal.net/login,phishing
This is a reminder that your subscription renews on end of this week. No action is needed if you wish to continue.,legitimate
URGENT: Your account will be permanently deleted in 24 hours unless you verify your details now: http://paypal-security-check.info,phishing
Your payment could not be processed. Update your billing information immediately at http://paypal-security-check.info to avoid service interruption.,phishing
Your Google Workspace account has been suspended. Click here to verify your identity immediately: http://amaz0n-support.com/verify,phishing
Thanks for your email. I'll review the document and get back to you by the 15th.,legitimate
Please review the attached document and sign it using the secure portal here: http://amaz0n-support.com/verify,phishing
"Hi, following up on our conversation last week regarding the budget sheet. Any updates?",legitimate
